Id,Label,event
11725128,Rose_McIver,24
42594888,The_Children_(Game_of_Thrones),10
1564200,Attempted_assassination_of_Ronald_Reagan,18
5845080,T._J._Oshie,7
5275584,Antonio_Valencia,0
1584240,Bob_Gunton,15
5818440,Sung_Kang,24
16849464,Connecticut_Huskies_women\'s_basketball,21
43794552,Connor_Michalek,12
87576,Mary-Kate_and_Ashley_Olsen,23
1008,April_6,17
938712,Mark_Hughes,0
180984,Martha_Scott,6
440040,Marián_Hossa,7
1575672,Dallas_Austin,24
1416,April_29,30
752544,Civil_Aeronautics_Board,16
1734336,World_Health_Day,17
4295976,Gabriel_Agbonlahor,0
5470704,Dave_Bliss,14
3963024,Political_positions_of_Hillary_Rodham_Clinton,32
42484344,List_of_R5_members,29
298608,State_of_emergency,30
316728,Nicodemus,6
30939720,2014_NHL_Entry_Draft,7
2204976,Vincent_Kartheiser,24
23466744,Haymarket_affair,26
582864,Plagues_of_Egypt,6
2210424,Renée_Richards,22
28897488,WWE_Tag_Team_Championship,12
592392,Phil_Mickelson,27
709344,Black_Widow_(Natalia_Romanova),25
25028568,Quinton_Aaron,15
22316712,List_of_The_Fast_and_the_Furious_characters,24
1938336,Louis_C.K.,10
617904,Mary_Surratt,20
715008,Football_League_Championship,0
212472,Alex_Rodriguez,1
494328,Sibel_Kekilli,10
140376,Armenian_Genocide,34
1477632,Kenny_Smith,14
15624,Judaism,6
265800,Scientology_controversies,26
228240,Paula_Radcliffe,11
46218888,Istanbul_Armenian_Genocide_memorial,20
19149336,DeMar_DeRozan,3
412200,Julius_Erving,14
26976,Silicon_Valley,10
42474192,2014–15_Football_League_Championship,0
2772312,Marley_Shelton,1
361176,Bernie_Sanders,26
33793032,Didi_Gregorius,1
5354328,Petals_on_the_Wind,24
5354400,If_There_Be_Thorns,24
437544,Bob_Saget,23
454272,List_of_WWE_pay-per-view_events,12
1591560,Darko_Miličić,3
30876264,Suzanne_Somers,29
2387472,Leandro_Barbosa,13
13679016,James_Vanderbilt,8
51888,Indiana_Jones_and_the_Last_Crusade,11
224616,PGA_Championship,27
1562112,NCAA_Basketball_Tournament_Most_Outstanding_Player,14
2805792,List_of_Grey\'s_Anatomy_episodes,25
367128,Peter_Lawford,4
10166400,Jason_Beghe,5
44768472,Broken_Horses,15
387816,Armenians,20
153672,Robert_Powell,6
31752,Ulysses_S._Grant,20
50784,Princess_Leia,19
19156272,Labor_Day,26
381312,John_Carradine,6
874128,Tina_Sinatra,4
2237856,Shonda_Rhimes,25
1468224,Ryan_Kesler,7
985560,WWE_United_States_Championship,12
1084104,MTS_Centre,7
83496,Use_of_capital_punishment_by_country,30
22301616,Easter_customs,6
488496,Jesus_of_Nazareth_(miniseries),6
19562448,Christian_Benteke,0
666456,Stamford_Bridge_(stadium),0
31876081,Winnipeg_Jets,7
18928057,List_of_Mad_Men_characters,24
22705,Ottawa_Senators,7
224737,Sherpa_people,22
12466945,Josh_Gad,10
3539881,Michael_Czugaj,28
19849,March_30,2
148681,Life_imprisonment,8
2861737,George_Getty,5
36618625,AJ_Lee,12
2655673,Vimy_Ridge_Day,20
4701529,Dathan,6
38162137,Going_Clear,5
863257,Deadshot,31
2296561,Selena_y_Los_Dinos,2
21265,Northern_Ireland,29
159625,Richard_Dreyfuss,33
12821809,Patty_Mills,3
22537873,1990–91_UNLV_Runnin\'_Rebels_basketball_team,14
2017,Arbor_Day,9
47497,Doctor_Doom,15
1410865,Cersei_Lannister,10
4406593,Fraser_Clarke_Heston,6
5425633,Bianca_Kajlich,24
10110097,Maisie_Williams,10
16321,Joseph_McCarthy,10
73321,Avalanche,22
187081,Anne_Baxter,6
43117009,2015_Masters_Tournament,27
507433,Iker_Casillas,9
21780481,James_Rodríguez,9
1916929,Barbara_Sinatra,4
73513,Mary_(mother_of_Jesus),6
15505,Iceman_(comics),15
362233,Magneto_(comics),15
27871561,2012_NBA_draft,13
29308417,1955_MacArthur_Airport_United_Airlines_crash,16
72889,San_Antonio_Spurs,3
355129,New_Coke,11
2655697,Dell_Curry,13
2540809,Dolph_Ziggler,12
21987337,Evan_Turner,3
5530417,Can\'t_Take_My_Eyes_Off_You,8
7729,Captain_America,25
33142873,Sophie_Turner_(actress),10
45030241,UFC_Fight_Night:_Mendes_vs._Lamas,14
35940793,List_of_people_who_died_climbing_Mount_Everest,22
21881809,Kylie_Jenner,18
42656761,2014–15_UEFA_Youth_League,20
32267545,Thor:_The_Dark_World,25
2876569,The_Punisher_(2004_film),15
19583257,Lagertha,33
29833,Americas,9
38147281,Marcus_Smart,3
442201,Ben_Urich,15
146929,George_Pickett,16
22333849,Robert_Herjavec,29
31151665,Notre_Dame_Fighting_Irish_women\'s_basketball,21
1033897,Death_of_Adolf_Hitler,26
366457,Chris_Pérez,2
4480033,List_of_the_NCAA_Men\'s_Division_I_Basketball_Tournament_Final_Four_participants,14
58009,Good_Friday,9
1177,Aleister_Crowley,5
7847641,Meryl_Davis,29
2864185,Jersey_Boys,8
7954681,Montreal,20
3883945,O._J._Simpson_murder_case,18
156385,Ira_Einhorn,11
12541729,Amy_Schumer,15
73129,Edmonton_Oilers,7
1009,April_12,20
34453297,Missing_My_Baby,2
11340577,Lexie_Grey,25
21308617,Tuti_Yusupova,16
316201,Jon_Favreau,25
1321609,Vaisakhi,20
5616697,Jonathan_Toews,7
1918585,Cheryl_Miller,14
3195049,Gal_Gadot,24
40781809,Extreme_Rules_(2014),12
35553313,Being_Mary_Jane,24
66937,Cisgender,22
2798281,Mychal_Thompson,13
19460809,Ryback,12
44541745,Nigel_Hayes,14
40054105,Jersey_Boys_(film),8
501385,Ruby_Ridge,11
4537,Burt_Lancaster,4
1777,April_2,16
27888241,Hop_(film),6
2006761,Edwin_Jarvis,25
936145,Getty_Oil,5
262465,Mad_Max_2,34
305473,Allen_Iverson,3
2029825,X-Men:_The_Last_Stand,15
26288569,Thor_(Marvel_Comics),25
21755090,Ricardo_Lamas,14
37963346,Yellowjacket_(Marvel_Comics),15
7515890,Kuwait,28
41374178,Arya_Stark,10
26999426,Captain_America:_The_First_Avenger,25
896498,Esther_Williams,4
23536538,University_of_Wisconsin–Madison,14
24890714,Ander_Herrera,0
1849946,Hack-a-Shaq,3
1826,April_18,11
22269698,Timofey_Mozgov,3
10106,Earthquake,22
1922546,Ghost_Whisperer,5
1700594,Andrea_Pirlo,9
31763402,Chris_Ramsey_(footballer),0
45276122,Charlotte_McKinney,29
30873530,List_of_men\'s_major_championships_winning_golfers,27
41068562,Sam_Dekker,14
12669578,Southpaw_stance,28
5476946,The_Incredible_Hulk_(film),31
100730,Winnipeg,7
764810,Waco_siege,11
428858,Frances_Bean_Cobain,17
536018,NCAA_Women\'s_Division_I_Basketball_Championship,21
3746,Blade_Runner,19
82394,Julio_César_Chávez,28
800594,Ricardo_Quaresma,9
3458,Belize,8
363002,Sandra_Oh,25
4701602,Bithiah,6
10535354,Dancing_with_the_Stars_(U.S._season_1),29
44165090,Claire_Temple,15
421034,Mike_Krzyzewski,14
46634,Xenu,5
173834,Edward_G._Robinson,6
72866,Chicago_Bulls,13
8996930,Aaron_Brooks_(basketball),13
9279674,Julen_Lopetegui,9
356714,Herod_Antipas,6
13957994,Star_Wars:_Battlefront_(series),19
1010,April_15,20
36101762,Godzilla_(2014_film),25
2724530,Nina_Foch,6
34226,Yuri_Gagarin,20
367106,Tony_Parker,3
3884858,Carice_van_Houten,10
746,Azerbaijan,9
354122,Gallipoli_(1981_film),34
67898,Hair_(musical),30
165530,Bournemouth,0
11742434,Battle_of_Slater\'s_Knoll,17
168314,DMX_(rapper),6
64394,Goodfellas,8
481730,John_Daly_(golfer),27
1567202,Yadier_Molina,1
8636786,Patrick_Kane,7
16152986,Eden_Hazard,0
585794,Tom_Watson_(golfer),27
58682,Alan_Shearer,0
571490,Cordyceps,22
42618962,Daisy_Ridley,19
3244322,Max_Rockatansky,34
3538034,Myuran_Sukumaran,28
90050,Nefertiti,6
12338162,List_of_Mad_Men_episodes,24
564674,English_football_league_system,0
5255978,John_Tavares_(ice_hockey),7
26482586,Cinco_de_Mayo,26
337250,J._J._Abrams,19
34198898,Meyers_Leonard,3
26274410,Jeremy_Irons,31
21650,North_Carolina,14
434330,Peter_Forsberg,7
1706954,Balthazar_Getty,5
655034,Andrea_Barber,23
39402554,2015_UEFA_Champions_League_Final,9
37717514,Kalisto_(wrestler),12
16160954,James_Harden,3
20369595,Oscar_De_La_Hoya_vs._Manny_Pacquiao,28
28085067,Fast_Five,24
17541051,Jürgen_Klopp,9
3076827,Elisabeth_Moss,24
433323,Syria_Palaestina,11
11914827,Mario_Mandžukić,9
1620651,Mark_Lee_(actor),34
748251,NBA_Sixth_Man_of_the_Year_Award,3
29288667,WrestleMania_29,12
44280363,DC_Comics\'_shared_universe_films,31
73875,The_Godfather_Part_II,4
32371227,Matt_Harvey,7
1693515,Henrik_Lundqvist,7
20333139,Javier_Pastore,9
12737715,Easter_Sunday_Raid,17
980547,Tom_Bergeron,29
711747,Patrick_Dempsey,25
867891,Baron_Zemo,31
20787,Mary_Magdalene,6
28648635,X-Men:_First_Class,15
23687283,Jan_Oblak,9
13275,Hungary,18
22467,Oklahoma_City_bombing,11
5093211,Brenda_Frese,21
31577595,Quinn_Cook,14
42990507,Big_Brother_Canada_(season_3),7
18051,Labour_Day,26
418467,Peter_Dinklage,10
16707,Kurt_Cobain,17
21808587,Alyssa_Sutherland,33
12767523,List_of_current_champions_in_WWE,12
28047771,Mike_Trout,1
42420315,2014_NCAA_Men\'s_Division_I_Basketball_Championship_Game,14
72891,Golden_State_Warriors,13
69795,Selena,2
44911515,Payback_(2015),12
31376979,List_of_April_Fools\'_Day_jokes,16
25986387,Carlos_Bacca,9
18496779,Tyler_Zeller,3
2214267,Three-point_field_goal,14
37474179,WWE_NXT,12
13826091,Don_Draper,24
32433243,Breanna_Stewart,21
16723971,Jon_Favreau_(speechwriter),25
275547,Selena_(film),2
459891,Reggie_Miller,14
36736083,Varun_Dhawan,9
24466611,2013_NCAA_Men\'s_Division_I_Basketball_Tournament,14
1011,April_30,26
31831107,Vermin_Supreme,32
2109459,Shane_Battier,14
25259595,James_Maslow,24
40203,Hubble_Space_Telescope,9
27852963,Terrence_Jones,3
213795,Pat_Summitt,21
3323451,Gold_Base,5
22946595,Chris_Smalling,0
32764467,Filip_Forsberg,7
179091,Rat_Pack,4
758619,Maura_West,34
643299,Rick_Carlisle,3
1032075,2001_Gujarat_earthquake,22
24599427,Patronages_of_Saint_George,11
1150971,Bo_Ryan,14
2825163,Zack_Snyder,31
43838643,Dancing_with_the_Stars_(U.S._season_20),29
551595,Daniel_Sedin,7
39027,Mike_Tyson,28
16899,Kareem_Abdul-Jabbar,3
39216075,Liberation_Day_(Italy),34
5708763,Anne_Vyalitsyna,7
31316475,Man_of_Steel_(film),31
1827,April_23,11
2557419,Tommy_DeVito_(musician),8
38115,Crucifixion,6
426484,Vijay_Singh,27
1085284,Ajay_Devgan,16
4709116,Craig_Anderson_(ice_hockey),7
62116,Napoleon_II,16
144364,Jonathan_Pryce,10
162964,John_Stamos,23
38870332,Michele_Miscavige,5
753580,Oracle_Arena,13
3391396,Istanbul,20
3062692,Scott_Brooks,3
23473348,Günter_Grass,20
23414932,Marcos_Maidana,28
100156,Ravi_Shankar,17
9395068,Wanted_(2008_film),15
25804468,2010_Haiti_earthquake,22
4322284,Charlie_Cox,10
40397428,Tyus_Jones,14
542932,Isiah_Thomas,3
42553660,2015_NBA_Playoffs,7
21073732,Mexican–American_War,20
694468,Wilma_Mankiller,20
4820932,Death_of_Subhas_Chandra_Bose,20
9017212,Edinson_Cavani,9
4381132,1992_NCAA_Men\'s_Division_I_Basketball_Tournament,14
13091236,Mark_Ballas,29
39044308,List_of_Orphan_Black_episodes,19
10105828,Michigan_State_Spartans_men\'s_basketball,14
297628,Dragon_Ball_GT,30
24654196,Anthony_Batts,30
4760452,Tax_Day,20
19348,May_1,26
49132,Marathon,11
437332,Trailer_Park_Boys,24
13886140,1999_Sydney_hailstorm,20
31339516,Brendan_Gallagher,7
30789076,Chris_D\'Elia,24
31516,Tibet,22
378436,Foot_washing,6
22112788,Star_Wars:_Battlefront,19
19373860,HMS_Bounty,30
11247292,2011_NBA_draft,13
2896996,Noel_Gugliemi,24
1552468,Aidan_Gillen,10
614356,Jim_Jackson_(basketball),14
20930740,Star_Wars:_Battlefront_(2015_video_game),19
2873332,Zach_Parise,7
22451452,Pero_Antić,3
4629580,Al_Horford,3
2356756,Perfect_season,14
10825132,Changeling_(film),8
66964,Pittsburgh_Penguins,7
221812,Tim_Duncan,3
99940,Justice_League,31
11652868,Jason_Heyward,1
1486684,List_of_Stanley_Cup_champions,7
3992164,Oldest_people,16
2116084,Kara_Lawson,21
503164,Ray_Liotta,8
36756292,Athletics_at_the_1976_Summer_Olympics_–_Men\'s_decathlon,18
867796,Baron_Strucker,31
651268,Lamar_Odom,3
43483012,If_There_Be_Thorns_(film),24
2278804,Henry_Cavill,31
1196068,Nana_Mouskouri,4
2386348,Church_of_Scientology,5
1931092,S-400_(missile),20
748588,Alison_Doody,11
73132,Minnesota_Wild,7
3548404,List_of_English_football_champions,0
221788,Steve_Kerr,13
158548,Earth_Day,11
72892,Los_Angeles_Clippers,3
632188,Ted_Neeley,6
33425452,Aaron_Ekblad,7
73252,Frank_Miller_(comics),31
844,Amsterdam,9
306460,Michelle_Rodriguez,24
21827548,2012_NHL_Entry_Draft,7
7842004,Sheila_Dixon,30
7619908,Derek_Shepherd,25
1774301,Freedom_Day_(South_Africa),34
11330141,Mike_Colter,15
21817157,Anthony_Kennedy,30
3743597,Maria_Altmann,19
32429,Vidkun_Quisling,20
6653,Cape_Town,17
905957,Human_height,16
319973,1967_Detroit_riot,30
1709861,Debra_Paget,6
53117,Milwaukee,13
27991805,Nikola_Mirotić,13
42579581,Trainwreck_(film),15
5877677,2009_NBA_draft,13
151949,Vincent_Price,6
339365,Dave_Chappelle,24
36355277,Vikings_(TV_series),33
42173,Aston_Villa_F.C.,0
11570261,List_of_career_achievements_by_Tiger_Woods,27
695909,Yvonne_De_Carlo,6
719429,Kelly_Monaco,29
43184381,Erich_Bergen,8
50957,Star_Wars_Episode_II:_Attack_of_the_Clones,19
1775669,International_Dance_Day,30
49565,President_pro_tempore_of_the_United_States_Senate,34
214109,Gallipoli_Campaign,34
7687013,Meredith_Grey,25
701741,Thanos,25
58925,Margrethe_II_of_Denmark,26
43408541,The_Marine_4:_Moving_Target,12
19904525,Transgender,22
16309997,Egg_hunt,6
11237,FA_Cup,0
101141,Governor_of_Maryland,30
579485,Whitey_Bulger,8
41572733,Young__Hungry,23
2009549,Brooke_Langton,25
36861341,Capital_punishment_in_Indonesia,28
25156493,List_of_Daredevil_enemies,15
1541,April_13,20
2321981,Carrie_Ann_Inaba,29
872237,Martin_O\'Malley,30
13291949,Troy_Deeney,0
172589,FC_Porto,9
439589,Ann_Miller,4
1711637,J._R._Smith,3
84197,Atlético_Madrid,9
16973765,Christos_anesti,6
32784677,Khris_Middleton,13
7064453,Loïc_Rémy,0
1660277,Grey\'s_Anatomy,25
16822613,Lydia_Clarke,6
1882805,Shōwa_Day,30
823277,John_Cazale,4
42075101,Clint_Capela,3
50477,Martial_law,30
15656621,Fast__Furious_(2009_film),24
19829,May_Day,26
18255941,2010–11_UEFA_Champions_League,9
25190741,Gadhimai_festival,22
2466773,The_Godfather,4
1203461,Will_Forte,24
34193573,Mychel_Thompson,13
8623685,Jaroslav_Halák,7
4760381,WWE_Extreme_Rules,12
31089821,Kaleena_Mosqueda-Lewis,21
44948501,Money_in_the_Bank_(2015),12
243389,Charlotte_Hornets,13
4764461,World_War_I,34
8149037,Maksim_Chmerkovskiy,29
36769949,Óliver_Torres,9
9728093,UCLA_Bruins_men\'s_basketball,14
5634629,Talitha_Getty,5
991709,Kevin_James,7
5876933,Devan_Dubnyk,7
73133,Vancouver_Canucks,7
2521661,Joe_Hart,0
34062366,Damian_Lillard,3
1080294,Adam_Scott_(golfer),27
42694638,Law__Order:_Special_Victims_Unit_(season_16),5
1687158,John_Paul_Getty_III,5
26808582,Mason_Plumlee,14
1126782,William_T._Anderson,16
31930998,This_Is_40,15
11091078,Dragon_Ball,30
1425342,List_of_Star_Wars_video_games,19
30175038,Emilia_Clarke,10
1659870,Paul_Haggis,5
26979534,Peter_Godsday_Orubebe,16
1658814,Barclays_Center,7
2172078,Kate_Walsh_(actress),24
2371086,Ciarán_Hinds,10
172326,FC_Bayern_Munich,9
69414,Castration,20
1104102,Foggy_Nelson,15
14814,Indiana_Jones,26
346854,Stan_Freberg,10
17977254,Hunico,12
1491798,Gerard_Piqué,9
32056806,Willow_Shields,29
1195302,Scott_Glenn,15
634974,Sonny_Shroyer,17
111582,Wonder_Woman,31
4924254,Assassination_of_Abraham_Lincoln,20
11291214,Coco_Chanel,34
31347438,Mark_Stone_(ice_hockey),7
1633206,Tyson_Chandler,3
4023894,Si_Yi_Chen,28
204582,Battle_of_Five_Forks,16
4591158,List_of_Law__Order:_Special_Victims_Unit_episodes,5
4953438,Ode_of_Remembrance,34
45700998,Noah_Galloway,29
44707014,The_New_Day,12
697926,Emma_Frost,15
204702,Divine_(performer),30
705774,Embeth_Davidtz,24
1974,April_17,26
513390,List_of_Avengers_members,31
10490910,Stanley_Cup_playoffs,7
2010174,Race_and_crime_in_the_United_States,30
113070,Pontius_Pilate,6
1710,April_22,11
241230,Ian_Wright,0
317070,Sable_(wrestler),12
4471038,Money_in_the_Bank_ladder_match,12
3647046,Getty_family,5
1888758,Margaery_Tyrell,10
13133550,Nick_Calathes,3
26289750,Hawkeye_(comics),31
2327862,Popeye_Jones,7
215670,Lil\'_Kim,29
362238,Quicksilver_(comics),25
223854,U.S._Open_(golf),27
39229782,2014_Masters_Tournament,27
42966,Montreal_Canadiens,7
24412854,Nico_Tortorella,5
23680998,Justin_Bieber,24
3390,Bible,6
11607222,Ryan_Anderson_(basketball),13
742926,ANZAC_Cove,34
45222,Jean_Michel_Jarre,24
33514494,Turbo-Charged_Prelude,24
2202702,A_Dance_with_Dragons,10
73134,Anaheim_Ducks,7
53862,Darth_Vader,19
390606,List_of_heavyweight_boxing_champions,28
11098110,Fabian_Delph,0
21046950,List_of_earthquakes_in_India,22
22090158,Jimmy_Butler_(basketball),13
216774,Layne_Staley,17
159966,Ludacris,24
1096734,Nick_Massi,8
1336518,Indian_Plate,22
449982,Ray_Lewis,30
16251126,Erik_Karlsson,7
21692334,Krysten_Ritter,15
7566,Carousel_(musical),26
148878,Mario_Lemieux,7
195246,The_Passion_of_the_Christ,6
925494,Tyler_Hansbrough,14
165630,Battle_of_San_Jacinto,11
13362678,Robert_Lewandowski,9
603942,John_Barnes_(footballer),0
145830,Edwin_of_Northumbria,20
7208646,Jallianwala_Bagh_massacre,20
2031342,Brian_Burke_(ice_hockey),7
2088462,Arnold_Palmer_(drink),27
222294,John_Hinckley_Jr.,18
32511174,Cody_Zeller,3
28326342,Murder_of_Selena,2
398166,Sebastian_Shaw_(comics),15
631494,Moment_magnitude_scale,22
3914646,Jeff_Green_(basketball),3
147726,Shaquille_O\'Neal,14
10350,Easter_Rising,6
32601798,Alicia_Vikander,31
30923526,Raheem_Sterling,0
675126,DFB-Pokal,9
26796462,Dean_Ambrose,12
21105366,James_Deen,6
17862,L._Ron_Hubbard,5
766086,Solo_family,19
10918782,Davidson_Wildcats_men\'s_basketball,13
4630134,Adam_Wainwright,1
95310,Oscar_De_La_Hoya,28
22852566,Crucifixion_of_Jesus,6
17359,K2,22
42558799,Flowers_in_the_Attic_(2014_film),24
23546455,PGA_Tour,27
1806895,Vondie_Curtis-Hall,10
387583,Calvary,6
630463,WWE_World_Heavyweight_Championship,12
42908311,Woman_in_Gold,19
38081095,Jeralean_Talley,16
719095,FIFA_World_Rankings,0
595639,Pat_Tillman,11
10213087,Mark_Sloan_(Grey\'s_Anatomy),25
39363007,Undateable,24
194551,Sammy_Davis_Jr.,4
3509287,Manchester_derby,0
17486791,National_Doctors\'_Day,2
603103,Crystal_Cathedral,16
1891903,Barlow_and_Chambers_execution,28
4375,Barry_Bonds,7
242911,Jack_Nicklaus,27
229447,Armenian_Apostolic_Church,9
12596047,Jackson_Martínez,9
6253255,Sammi_Hanratty,24
1639,April_28,30
31136575,NCAA_March_Madness_(CBS/Turner),14
1967983,Boss_Hogg,17
332719,Elizabeth_Montgomery,20
1132159,Eddie_Howe,0
3811039,Juan_Manuel_Márquez,28
187807,Demi_Moore,29
218935,Walpurgis_Night,26
16877431,Vincent_Piazza,8
157447,Greg_Norman,27
44209783,Asia\'s_Got_Talent,26
55447,Star_Wars_Episode_III:_Revenge_of_the_Sith,19
21131695,Robert_F._Kennedy,18
387751,Kingpin_(comics),15
45665503,Meet_the_Smiths,14
3634471,Jon_Hamm,24
156607,Nefertari,6
1660879,Jessica_Paré,24
25832311,Miles_Plumlee,14
3133951,Slaviša_Jokanović,0
38247919,Śmigus-Dyngus,6
1828447,Jessica_Jones,15
26392255,Kiernan_Shipka,24
1779343,Herb_Trimpe,15
1702399,Zach_Randolph,3
17473111,Emma_Heming,29
401575,Lori_Loughlin,23
268111,Cuban_Revolution,4
39197287,Dennis_Schröder,3
780055,Sidney_Crosby,7
232711,The_Truman_Show,19
159511,Phoebe_Cates,25
42688351,2014–15_FC_Barcelona_season,9
1590607,Beno_Udrih,3
22224559,The_Last_Song_(film),25
11807815,Clay_Guida,14
32878879,Petr_Mrázek,7
44489815,Justise_Winslow,14
15919,John_Wilkes_Booth,20
3415,Bulgaria,20
30059575,Los_Bandoleros_(film),24
1553191,1992_Los_Angeles_riots,30
7471,Catherine_of_Siena,30
965935,January_Jones,24
33127,Wisconsin,14
69919,In_Search_of_Lost_Time,31
235879,Comedy_Central,24
21728,New_York_Mets,7
26552,Roy_Orbison,4
213416,The_Replacements_(film),25
29609480,Ice_Age:_Continental_Drift,6
937184,Chester_Brown,32
31491224,Trevor_Noah,24
22228064,Parkinson\'s_disease,28
81800,Mary-Kate_Olsen,23
14912,Incest,24
4118960,Hyman_Roth,4
31150160,2011_Tōhoku_earthquake_and_tsunami,22
2421536,Andre_Iguodala,13
1000232,Genocides_in_history,34
